N;Time_Column_Major;Time_Row_Major;Time_Standart_K_times
10;0.00019057;0.00026526;0.0012796
100;6.759e-05;7.243e-05;0.00070871
300;8.3e-07;6e-07;0.0001626
600;6e-07;6.1e-07;1.763e-05
1000;5.9e-07;7.5e-07;1.731e-05
3000;5.9e-07;8.1e-07;1.691e-05
6000;6e-07;7.4e-07;1.869e-05
10000;6.2e-07;6.7e-07;1.828e-05
30000;6e-07;6e-07;1.849e-05
60000;8.5e-07;8.6e-07;2.397e-05
100000;1.66e-06;1.43e-06;1.685e-05
300000;1.58e-06;6.1e-07;1.658e-05
600000;5.9e-07;6.1e-07;1.557e-05
1000000;6e-07;1.47e-06;1.822e-05
