M;compile_Time;retrieve_Time
0;0.02517;0.025173
1;0.049801;0.049804
2;0.074507;0.07451
3;0.09944;0.099442
4;0.123822;0.123825
5;0.149244;0.149246
6;0.174097;0.1741
7;0.199099;0.199101
8;0.220103;0.220106
9;0.241718;0.24172
10;0.263315;0.263317
11;0.28486;0.284862
12;0.306761;0.306763
13;0.328742;0.328745
14;0.350675;0.350677
15;0.372379;0.372382
16;0.394355;0.394358
17;0.416237;0.41624
18;0.437864;0.437867
19;0.459486;0.459488
20;0.481519;0.481521
21;0.503263;0.503266
22;0.524967;0.52497
23;0.546552;0.546555
24;0.568703;0.568706
25;0.590528;0.59053
26;0.612416;0.612418
27;0.63417;0.634172
28;0.656067;0.65607
29;0.678273;0.678276
30;0.700154;0.700156
31;0.721977;0.72198
32;0.743699;0.743702
33;0.765522;0.76555
34;0.787433;0.787435
35;0.809507;0.80951
36;0.83111;0.831113
37;0.852651;0.852654
38;0.874348;0.874351
39;0.896146;0.896148
