N;CPU_time;opencl_time;factor_opencl_CPU;GPU_time;factor_opencl_GPU
10;2.2e-05;3.3e-05;0.666667;0.003654;0.0060208
100;3.7e-05;3.9e-05;0.948718;0.003234;0.0114409
1000;0.000246;3.2e-05;7.6875;0.004439;0.0554179
10000;0.003033;3.7e-05;81.973;0.003344;0.906998
30000;0.008328;4.9e-05;169.959;0.003643;2.28603
60000;0.01597;3.4e-05;469.706;0.004015;3.97758
100000;0.026982;6.9e-05;391.043;0.003247;8.30982
300000;0.089862;0.00017;528.6;0.003358;26.7606
600000;0.183562;0.000973;188.656;0.003301;55.608
1000000;0.304106;0.00244;124.634;0.003931;77.361
3000000;0.904046;0.00524;172.528;0.00329;274.786
6000000;1.77744;0.015512;114.585;0.004374;406.365
10000000;2.99805;0.023419;128.018;0.005225;573.789
