N;CPU_time;opencl_time;factor_opencl_CPU;GPU_time;factor_opencl_GPU
10;1.8e-05;3.3e-05;0.545455;0.004211;0.00427452
100;3.4e-05;2.9e-05;1.17241;0.003849;0.00883346
1000;0.000271;2.5e-05;10.84;0.003267;0.0829507
10000;0.002622;3e-05;87.4;0.004025;0.651429
30000;0.007661;2.9e-05;264.172;0.00359;2.13398
60000;0.01929;4.6e-05;419.348;0.004471;4.31447
100000;0.026681;3.6e-05;741.139;0.003415;7.81288
300000;0.088822;5.2e-05;1708.12;0.003307;26.8588
600000;0.183712;9.1e-05;2018.81;0.003374;54.4493
1000000;0.304782;0.000128;2381.11;0.004099;74.3552
3000000;0.907125;0.00033;2748.86;0.003252;278.944
6000000;1.97916;0.000649;3049.55;0.004494;440.401
10000000;3.06021;0.001042;2936.86;0.005238;584.233
